BFS_NR,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss
4761,Sirnach,2022,53
4761,Sirnach,2021,56
4761,Sirnach,2020,56
4761,Sirnach,2019,56
4761,Sirnach,2018,56
4761,Sirnach,2017,56
4761,Sirnach,2016,56
4761,Sirnach,2015,56
4761,Sirnach,2014,50
4761,Sirnach,2013,46
4761,Sirnach,2012,46
4761,Sirnach,2011,47
4761,Sirnach,2010,48
4761,Sirnach,2009,48
4761,Sirnach,2008,50
4761,Sirnach,2007,51
4761,Sirnach,2006,52
4761,Sirnach,2005,53
4761,Sirnach,2004,56
4643,Bottighofen,2022,34
4643,Bottighofen,2021,36
4643,Bottighofen,2020,36
4643,Bottighofen,2019,36
4643,Bottighofen,2018,36
4643,Bottighofen,2017,36
4643,Bottighofen,2016,36
4643,Bottighofen,2015,39
4643,Bottighofen,2014,39
4643,Bottighofen,2013,39
4643,Bottighofen,2012,39
4643,Bottighofen,2011,39
4643,Bottighofen,2010,39
4643,Bottighofen,2009,39
4643,Bottighofen,2008,39
4643,Bottighofen,2007,39
4643,Bottighofen,2006,39
4643,Bottighofen,2005,39
4643,Bottighofen,2004,35
4590,Hüttlingen,2022,60
4590,Hüttlingen,2021,60
4590,Hüttlingen,2020,60
4590,Hüttlingen,2019,54
4590,Hüttlingen,2018,54
4590,Hüttlingen,2017,54
4590,Hüttlingen,2016,54
4590,Hüttlingen,2015,54
4590,Hüttlingen,2014,54
4590,Hüttlingen,2013,54
4590,Hüttlingen,2012,54
4590,Hüttlingen,2011,54
4590,Hüttlingen,2010,54
4590,Hüttlingen,2009,57
4590,Hüttlingen,2008,60
4590,Hüttlingen,2007,60
4590,Hüttlingen,2006,60
4590,Hüttlingen,2005,60
4590,Hüttlingen,2004,60
4716,Bettwiesen,2022,47
4716,Bettwiesen,2021,49
4716,Bettwiesen,2020,49
4716,Bettwiesen,2019,53
4716,Bettwiesen,2018,53
4716,Bettwiesen,2017,51
4716,Bettwiesen,2016,48
4716,Bettwiesen,2015,43
4716,Bettwiesen,2014,43
4716,Bettwiesen,2013,43
4716,Bettwiesen,2012,43
4716,Bettwiesen,2011,43
4716,Bettwiesen,2010,43
4716,Bettwiesen,2009,48
4716,Bettwiesen,2008,48
4716,Bettwiesen,2007,53
4716,Bettwiesen,2006,53
4716,Bettwiesen,2005,53
4716,Bettwiesen,2004,47